Cliftlands|Bolderfall|Right of the Inn
Cliftlands|Bolderfall|Inside Nobleman's House
Cliftlands|Bolderfall|Left of Ravus Manor gate, visible from entrance to area
Cliftlands|Bolderfall|Left of Ravus Manor itself, near the cliff edge
Frostlands|Flamesgrace|Inside the Cathedral, just inside the gate around the Sacred Flame, on the left side, near the wall
Frostlands|Flamesgrace|Inside the Cathedral, to the right of the Cleric, against the wall, almost right between the large pillars, near the gray area
Frostlands|Flamesgrace|Inside the Cathedral, left of the pews, behind the 2nd big pillar (almost completely hidden)
Riverlands|Clearbrook|East side of town, against a staircase, not far from the edge of town
Riverlands|Clearbrook|Behind a tree by the pier, difficult to spot at first
Riverlands|Clearbrook|Inside Zeph's house (door is guarded by Zeph himself, 4/10 Difficulty)
Sunlands|Sunshade|Inside the Tavern, up the stairs to the left and down the short, wooden path
Sunlands|Sunshade|Inside the house guarded by the Dancer (near the entrance to town) (Difficulty: 1/10)
Highlands|Cobbleston|Inside the house guarded by the Village Headman (Difficulty: 1/10)
Highlands|Cobbleston|Inside the house guarded by the Captain of the Watch (Difficulty: 4/10)
Woodlands|S'warkii|Right in front of Inn (partially concealed by Tavern building)
Woodlands|S'warkii|In front of the Tavern, in the bottom-right-most corner of S'warkii
Woodlands|S'warkii|Inside the guarded house (Villager guarding it is Strength 1/10)
Flatlands|Atlasdam|In the palace, immediate left on the first floor, group of 3 chests
Flatlands|Atlasdam|Chest #2 of group mentioned above
Flatlands|Atlasdam|Chest #3 of group mentioned above
Flatlands|Atlasdam|In the palace, immediate right on the first floor, just past the torch in the only alcove without an NPC
Coastlands|Rippletide|Across from the Armory, next to a bench, along the wall
Coastlands|Rippletide|Inside the Tavern, directly left of the Barkeeper
Coastlands|Rippletide|In front of the Inn, partially hidden from view by a pair of crates
Coastlands|Rippletide|Directly in front of the Tavern, JUST to the right of the door, partially hidden
Riverlands|Saintsbridge|Inside the house between the Inn and the Provisioner, upper-right corner
Riverlands|Saintsbridge|Against the right wall of the log cabin above the Inn / Armory / Provisioner area (blends in with the stick bundles)
Riverlands|Saintsbridge|In the upper-most house, next to the Cathedral
Riverlands|Saintsbridge|In the plaza, behind the bushes (go the far left of the bushes, then you can go down and in front of the bushes)
Riverlands|Saintsbridge|Against the left wall inside the Cathedral, in the upper-left corner, against the right wall of the left-side room
Riverlands|Saintsbridge|Inside the Cathedral, on the right side, between the two rows of thick and thin pillars, against the upper wall
Woodlands|Victors Hollow|Inside the house in the Arena Gate area, guarded by the Barker (Difficulty: 6/10)
Woodlands|Victors Hollow|In the Arena, in the waiting room to the left of the large door leading into the Arena proper
